celltype_new,n_cells,median,mean,q90,frac>0
Amniotic ectoderm,11509,0.0,0.04868854326565683,0.21199999999999997,0.2709184116778174
Apical ectodermal ridge,6330,0.0,0.04860014042478498,0.2301222222222223,0.2581358609794629
Basal keratinocytes,19591,0.09911111111111115,0.1667341296173413,0.44399999999999995,0.5406053800214384
Bladder urothelial cells,1313,0.0,0.017244393670136245,0.0026222222222221795,0.10205635948210205
Branchial arch epithelium,41134,0.0,0.06561137042619515,0.2833333333333333,0.287183351971605
Cochlear hair cells,574,0.0,0.012158730158730159,0.0,0.09059233449477352
Conjunctival goblet cells,1244,0.0,0.01380350125044659,0.0,0.07877813504823152
Corneal epithelial cells,1078,0.0,0.011776540919398061,0.0,0.07235621521335807
Dental epithelial cells,9903,0.14288888888888884,0.1576061687255265,0.33011111111111113,0.5870948197515904
Granular keratinocytes,41185,0.0,0.028280309713622814,0.1303333333333333,0.1569989073691878
Lens epithelial cells,1605,0.0,0.036981585323641396,0.18724444444444466,0.21806853582554517
Nonsensory cochlear epithelium,51,0.0,0.021699346405228758,0.13,0.11764705882352941
Olfactory bulb cells,5888,0.0,0.014310914855072463,0.0,0.09578804347826086
Olfactory epithelial cells,33331,0.0,0.029289083569183177,0.1353333333333333,0.1760823257628034
Olfactory pit cells,2081,0.0,0.06168167013722035,0.23822222222222222,0.35271504084574723
Otic epithelial cells,29337,0.0,0.050400760510996734,0.22099999999999997,0.27985138221358696
Parathyroid epithelial cells,433,0.0,0.0772016936104696,0.2894222222222222,0.34872979214780603
Pineal gland,540,0.0,0.012770164609053497,0.0,0.07592592592592592
Pituitary gland cells,4964,0.0,0.04208725042528427,0.20201111111111106,0.23751007252215955
Pituitary/Pineal gland progenitors,2797,0.02966666666666662,0.12242855440352758,0.31853333333333333,0.5205577404361816
Placodal area,60938,0.0,0.11633874685016829,0.3268888888888889,0.45841675145229577
Pre-epidermal keratinocytes,114402,0.0,0.06832767492409807,0.273,0.3177129770458558
Primordial germ cells,1712,0.0,0.03399928608515057,0.1690222222222223,0.22021028037383178
Thymic epithelial cells,1937,0.0,0.03625813113061435,0.184888888888889,0.19617965926690759
Thyroid gland cells,1578,0.0,0.03817814392339108,0.20065555555555556,0.19898605830164764
Tooth junctional epithelium,2918,0.0,0.006989452440788973,0.0,0.04489376285126799
